# Strain Tracker Export
# generated: 2026-05-21T13:10:11.861Z
# fps: 120
# video_size_px: 1280x720
# calibration: 9.629723 px per mm
# calibration_points_px: (311.780,304.734) - (985.835,298.862)
# calibration_real_distance: 70 mm
# template_size_px: 40
# search_radius_px: 25
#
frame,time_s,x_px,y_px,x_mm,y_mm,dx_mm,dy_mm,match_score
192,1.600000,356.9853,345.9147,37.071188,35.921562,0.102317,-0.631929,0.9817
193,1.608333,356.9853,345.9147,37.071188,35.921562,0.102317,-0.631929,0.9817
194,1.616667,356.9853,345.9147,37.071188,35.921562,0.102317,-0.631929,0.9817
195,1.625000,356.9853,345.9147,37.071188,35.921562,0.102317,-0.631929,0.9817
196,1.633333,356.8585,346.4858,37.058024,35.980871,0.089153,-0.572620,0.9843
197,1.641667,356.8585,346.4858,37.058024,35.980871,0.089153,-0.572620,0.9843
198,1.650000,356.8585,346.4858,37.058024,35.980871,0.089153,-0.572620,0.9843
199,1.658333,356.8585,346.4858,37.058024,35.980871,0.089153,-0.572620,0.9843
200,1.666667,356.8413,346.2841,37.056239,35.959918,0.087368,-0.593574,0.9842
201,1.675000,356.8413,346.2841,37.056239,35.959918,0.087368,-0.593574,0.9842
202,1.683333,356.8413,346.2841,37.056239,35.959918,0.087368,-0.593574,0.9842
203,1.691667,356.8413,346.2841,37.056239,35.959918,0.087368,-0.593574,0.9842
204,1.700000,356.8729,346.6238,37.059514,35.995204,0.090642,-0.558287,0.9861
205,1.708333,356.8729,346.6238,37.059514,35.995204,0.090642,-0.558287,0.9861
206,1.716667,356.8729,346.6238,37.059514,35.995204,0.090642,-0.558287,0.9861
207,1.725000,356.8729,346.6238,37.059514,35.995204,0.090642,-0.558287,0.9861
208,1.733333,356.8846,346.5869,37.060738,35.991369,0.091866,-0.562122,0.9857
209,1.741667,356.8846,346.5869,37.060738,35.991369,0.091866,-0.562122,0.9857
210,1.750000,356.8846,346.5869,37.060738,35.991369,0.091866,-0.562122,0.9857
211,1.758333,356.8846,346.5869,37.060738,35.991369,0.091866,-0.562122,0.9857
212,1.766667,356.9657,346.7599,37.069157,36.009328,0.100285,-0.544164,0.9849
213,1.775000,356.9657,346.7599,37.069157,36.009328,0.100285,-0.544164,0.9849
214,1.783333,356.9657,346.7599,37.069157,36.009328,0.100285,-0.544164,0.9849
215,1.791667,356.9657,346.7599,37.069157,36.009328,0.100285,-0.544164,0.9849
216,1.800000,360.8294,347.0042,37.470383,36.034698,0.501511,-0.518793,0.9881
217,1.808333,360.8294,347.0042,37.470383,36.034698,0.501511,-0.518793,0.9881
218,1.816667,360.8294,347.0042,37.470383,36.034698,0.501511,-0.518793,0.9881
219,1.825000,360.8294,347.0042,37.470383,36.034698,0.501511,-0.518793,0.9881
220,1.833333,365.0925,347.8400,37.913085,36.121491,0.944213,-0.432000,0.9756
221,1.841667,365.0925,347.8400,37.913085,36.121491,0.944213,-0.432000,0.9756
222,1.850000,365.0925,347.8400,37.913085,36.121491,0.944213,-0.432000,0.9756
223,1.858333,365.0925,347.8400,37.913085,36.121491,0.944213,-0.432000,0.9756
224,1.866667,369.3829,348.8249,38.358624,36.223774,1.389752,-0.329718,0.9639
225,1.875000,369.3829,348.8249,38.358624,36.223774,1.389752,-0.329718,0.9639
226,1.883333,369.3829,348.8249,38.358624,36.223774,1.389752,-0.329718,0.9639
227,1.891667,369.3829,348.8249,38.358624,36.223774,1.389752,-0.329718,0.9639
228,1.900000,374.0487,350.9656,38.843139,36.446073,1.874267,-0.107418,0.9683
229,1.908333,374.0487,350.9656,38.843139,36.446073,1.874267,-0.107418,0.9683
230,1.916667,374.0487,350.9656,38.843139,36.446073,1.874267,-0.107418,0.9683
231,1.925000,374.0487,350.9656,38.843139,36.446073,1.874267,-0.107418,0.9683
232,1.933333,378.4438,351.7665,39.299557,36.529240,2.330685,-0.024251,0.9655
233,1.941667,378.4438,351.7665,39.299557,36.529240,2.330685,-0.024251,0.9655
234,1.950000,378.4438,351.7665,39.299557,36.529240,2.330685,-0.024251,0.9655
235,1.958333,378.4438,351.7665,39.299557,36.529240,2.330685,-0.024251,0.9655
236,1.966667,382.2569,352.0256,39.695524,36.556151,2.726653,0.002659,0.9495
237,1.975000,382.2569,352.0256,39.695524,36.556151,2.726653,0.002659,0.9495
238,1.983333,382.2569,352.0256,39.695524,36.556151,2.726653,0.002659,0.9495
239,1.991667,382.2569,352.0256,39.695524,36.556151,2.726653,0.002659,0.9495
240,2.000000,384.5522,353.1330,39.933880,36.671147,2.965008,0.117655,0.9345
241,2.008333,384.5522,353.1330,39.933880,36.671147,2.965008,0.117655,0.9345
242,2.016667,384.5522,353.1330,39.933880,36.671147,2.965008,0.117655,0.9345
243,2.025000,384.5522,353.1330,39.933880,36.671147,2.965008,0.117655,0.9345
244,2.033333,385.0491,353.4807,39.985475,36.707255,3.016603,0.153764,0.9341
245,2.041667,385.0491,353.4807,39.985475,36.707255,3.016603,0.153764,0.9341
246,2.050000,385.0491,353.4807,39.985475,36.707255,3.016603,0.153764,0.9341
247,2.058333,385.0491,353.4807,39.985475,36.707255,3.016603,0.153764,0.9341
248,2.066667,385.4750,354.5804,40.029706,36.821452,3.060834,0.267961,0.9331
249,2.075000,385.4750,354.5804,40.029706,36.821452,3.060834,0.267961,0.9331
250,2.083333,385.4750,354.5804,40.029706,36.821452,3.060834,0.267961,0.9331
